id,agg_family,def_family,agg_sports,def_sports
1,2.25,2.25,2.75,3.25
24,3.5,2.0,2.75,2.5
25,3.25,3.75,4.0,3.75
27,1.0,3.25,2.25,3.75
30,2.5,1.75,2.75,2.25
31,1.25,1.5,2.0,3.0
32,3.5,3.75,2.5,2.75
36,3.25,2.75,3.0,3.0
38,1.75,3.5,2.25,3.0
39,2.0,2.0,2.75,2.0
40,2.75,3.5,2.75,4.25
41,3.0,1.5,3.0,2.0
42,3.0,2.5,3.0,3.0
